Student,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,internet,famrel,freetime,Dalc,Walc,health,absences,G1,G2,G3,Mean
1,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,no,4,3,1,1,3,6,25,30,30,28
2,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,yes,5,3,1,1,3,4,25,25,30,27
3,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,4,3,2,3,3,10,35,40,50,42
4,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,3,2,1,1,5,2,75,70,75,73
5,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,no,4,3,1,2,5,4,30,50,50,43
6,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,5,4,1,2,5,10,75,75,75,75
7,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,4,4,1,1,3,0,60,60,55,58
8,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,no,4,1,1,1,1,6,30,25,30,28
9,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,4,2,1,1,1,0,80,90,95,88
10,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,5,5,1,1,5,0,70,75,75,73
11,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,3,3,1,2,2,0,50,40,45,45
12,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,5,2,1,1,4,4,50,60,60,57
13,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,4,3,1,3,5,2,70,70,70,70
14,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,5,4,1,2,3,2,50,50,55,52
15,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,4,5,1,1,3,0,70,80,80,77
16,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,4,4,1,2,2,4,70,70,70,70
17,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,3,2,1,2,2,6,65,70,70,68
18,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,no,5,3,1,1,4,4,40,50,50,47
19,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,5,5,2,4,5,16,30,25,25,27
20,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,3,1,1,3,5,4,40,50,50,47
21,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,4,4,1,1,1,0,65,70,75,70
22,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,5,4,1,1,5,0,60,75,75,70
23,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,4,5,1,3,5,2,75,75,80,77
24,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,5,4,2,4,5,0,65,65,60,63
25,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,4,3,1,1,5,2,50,45,40,45
26,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,yes,1,2,1,3,5,14,30,45,40,38
27,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,4,2,1,2,5,2,60,60,55,58
28,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,2,2,2,4,1,4,75,80,75,77
29,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,5,3,1,1,5,4,55,55,55,55
30,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,4,4,5,5,5,16,50,60,55,55
31,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,yes,5,4,3,4,5,0,45,55,60,53
32,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,4,3,1,1,5,0,85,80,85,83
33,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,4,5,1,1,5,0,85,80,80,82
34,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,yes,5,3,1,1,2,0,40,50,60,50
35,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,5,4,1,1,5,0,60,70,75,68
36,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,no,3,5,1,1,5,0,40,35,30,35
37,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,5,4,1,1,4,2,75,80,90,82
38,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,2,4,1,1,5,7,75,80,75,77
39,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,4,3,1,1,5,2,60,60,55,58
40,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,no,4,3,1,1,2,8,70,65,65,67
41,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,yes,3,3,1,2,3,25,35,50,55,47
42,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,yes,5,4,2,4,5,8,60,60,60,60
43,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,4,3,1,1,5,2,95,90,90,92
44,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,5,4,1,1,1,0,40,40,55,45
45,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,4,3,2,2,5,14,50,50,45,48
46,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,5,2,1,1,5,8,40,40,30,37
47,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,2,3,1,4,3,12,55,60,55,57
48,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,4,2,1,1,2,4,95,95,100,97
49,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,no,4,3,2,2,5,2,75,75,70,73
50,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,yes,4,4,1,1,3,2,35,35,35,35
51,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,4,3,2,3,4,2,60,65,65,63
52,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,4,3,1,1,5,2,55,65,65,62
53,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,no,5,5,3,4,5,6,55,55,50,53
54,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,3,3,2,3,5,0,40,50,55,48
55,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,5,3,4,4,1,6,50,65,65,60
56,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,5,3,1,1,2,8,40,45,50,45
57,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,4,3,1,1,1,0,70,75,75,73
58,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,no,3,2,1,1,5,4,70,75,75,73
59,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,4,3,1,1,5,2,45,50,45,47
60,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,4,2,1,1,5,2,75,80,80,78
61,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,no,2,4,2,3,4,6,50,55,55,53
62,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,yes,5,5,5,5,5,6,50,40,55,48
63,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,4,4,1,1,1,4,40,50,45,45
64,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,3,4,2,4,4,2,50,45,45,47
65,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,4,4,2,4,2,0,50,50,50,50
66,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,5,4,1,2,1,2,80,75,75,77
67,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,yes,1,3,5,5,3,4,65,65,60,63
68,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,4,3,1,2,5,4,35,35,30,33
69,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,4,1,1,3,4,2,40,45,40,42
70,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,4,4,2,3,3,12,80,80,80,80
71,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,4,3,1,1,5,0,65,75,75,72
72,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,3,3,1,1,3,0,50,50,50,50
73,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,yes,3,3,2,4,5,2,40,30,25,32
74,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,no,5,3,2,2,5,2,60,60,70,63
75,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,4,3,2,4,5,54,55,60,55,57
76,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,4,3,2,3,5,6,45,45,50,47
77,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,3,4,1,1,1,8,55,55,50,53
78,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,5,2,1,3,3,0,55,55,55,55
79,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,4,5,1,1,3,2,40,40,50,43
80,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,2,4,1,2,3,12,25,25,25,25
81,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,yes,3,2,1,3,3,2,50,60,60,57
82,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,yes,5,3,1,2,5,4,55,50,55,53
83,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,4,4,1,1,5,10,35,30,30,32
84,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,5,3,1,3,4,4,75,75,75,75
85,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,yes,4,3,2,3,4,2,45,50,50,48
86,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,4,4,2,3,5,6,35,45,40,40
87,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,no,4,3,1,2,2,4,40,35,30,35
88,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,5,3,1,3,1,4,65,70,70,68
89,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,yes,4,4,1,1,3,12,55,50,50,52
90,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,no,4,1,3,5,5,18,40,30,35,35
91,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,4,3,1,3,4,0,35,35,40,37
92,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,4,5,1,3,1,4,80,85,90,85
93,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,no,3,3,2,3,2,4,35,30,30,32
94,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,5,3,1,1,1,0,55,50,50,52
95,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,4,3,1,1,4,6,55,65,70,63
96,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,3,1,1,1,1,2,35,50,50,45
97,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,yes,3,3,1,1,4,2,55,75,75,68
98,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,no,4,3,1,1,5,2,40,45,50,45
99,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,5,3,1,2,1,6,55,70,70,65
100,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,5,3,1,1,3,0,35,45,40,40
101,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,4,5,5,5,4,14,35,35,25,32
102,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,4,4,1,1,4,0,80,85,85,83
103,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,yes,5,3,1,1,5,4,50,65,70,62
104,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,4,3,1,1,2,26,35,30,30,32
105,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,5,4,1,1,1,0,80,90,90,87
106,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,no,4,3,1,1,4,10,50,55,55,53
107,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,5,1,1,1,3,8,35,40,40,38
108,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,5,3,1,1,5,2,80,90,90,87
109,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,1,3,3,5,1,6,50,65,65,60
110,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,5,4,1,1,4,4,70,75,80,75
111,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,5,5,1,1,4,6,90,95,95,93
112,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,4,1,1,1,2,0,35,50,50,45
113,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,3,1,1,1,5,6,50,65,65,60
114,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,3,5,1,1,3,10,90,95,95,93
115,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,5,4,1,1,5,8,45,45,45,45
116,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,5,4,1,2,5,2,75,75,80,77
117,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,no,4,4,1,1,2,2,55,65,70,63
118,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,5,4,1,1,5,0,65,70,65,67
119,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,5,2,1,4,5,20,45,35,40,40
120,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,3,4,1,2,4,6,70,65,65,67
121,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,yes,3,2,1,2,1,2,80,75,75,77
122,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,yes,yes,yes,5,5,1,2,5,6,80,70,75,75
123,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,4,2,1,2,5,2,65,65,65,65
124,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,3,4,1,4,5,18,70,55,65,63
125,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,5,4,1,1,5,0,40,35,40,38
126,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,5,5,3,2,5,0,65,65,60,63
127,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,5,3,1,1,1,0,35,50,55,47
128,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,no,yes,no,no,no,3,4,1,1,5,2,35,40,45,40
129,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2,no,yes,no,yes,yes,3,3,1,2,4,0,35,20,0,18
130,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,3,5,2,5,4,8,90,90,90,90
131,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,2,no,yes,no,no,yes,4,2,2,2,5,0,60,0,0,20
132,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,yes,4,3,1,2,4,0,40,0,0,13
133,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,3,4,1,3,5,12,50,65,60,58
134,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,3,2,1,4,5,16,60,55,55,57
135,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,no,5,3,1,1,5,0,45,0,0,15
136,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,no,yes,no,yes,yes,4,3,1,1,5,0,55,0,0,18
137,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,no,no,no,no,no,5,4,2,4,5,0,50,0,0,17
138,F,16,U,GT3,A,3,3,other,other,course,other,2,1,2,no,yes,no,yes,yes,4,3,1,1,5,0,20,0,0,7
139,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,1,no,no,no,no,no,4,4,1,3,5,0,70,60,60,63
140,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,4,3,1,1,5,0,80,80,75,78
141,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,yes,yes,no,no,yes,2,2,1,1,3,0,35,45,0,27
142,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,2,no,yes,no,yes,yes,2,3,2,2,2,8,45,45,45,45
143,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,4,2,1,1,5,2,45,55,55,52
144,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,3,4,3,3,1,2,70,70,65,68
145,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,3,no,yes,no,no,yes,5,4,1,2,5,0,25,0,0,8
146,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,yes,no,yes,4,4,1,2,5,0,40,55,55,50
147,F,15,U,GT3,T,3,2,health,services,home,father,1,2,3,no,yes,no,no,yes,3,3,1,1,3,0,30,35,0,22
148,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,yes,no,yes,4,3,1,1,5,2,50,55,55,53
149,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,3,3,2,1,5,0,35,30,0,22
150,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,3,no,no,no,no,yes,4,5,2,5,5,0,40,45,50,45
151,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,3,no,no,no,no,yes,2,3,2,5,4,0,30,25,0,18
152,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,no,4,4,3,5,5,6,60,65,70,65
153,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,2,no,yes,yes,yes,yes,4,2,2,3,3,8,50,50,50,50
154,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,3,no,yes,no,no,yes,4,5,1,1,4,0,25,0,0,8
155,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,no,no,4,2,1,1,4,0,55,55,60,57
156,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,no,4,4,1,1,1,2,55,40,40,45
157,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,0,no,no,no,no,no,2,2,3,3,5,8,80,60,65,68
158,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,5,2,1,5,4,6,45,40,50,45
159,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,no,no,no,no,no,4,2,1,2,3,2,85,75,75,78
160,M,16,U,GT3,T,3,3,other,services,course,father,1,2,1,no,yes,yes,no,yes,4,5,4,4,5,4,50,60,60,57
161,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,2,no,no,no,yes,yes,3,3,2,2,5,0,35,30,0,22
162,M,15,R,GT3,T,3,2,other,other,course,mother,2,2,2,yes,yes,no,no,yes,4,4,1,4,3,6,25,45,35,35
163,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,1,no,no,no,yes,no,4,4,2,4,5,0,35,0,0,12
164,M,17,U,GT3,T,1,3,at_home,services,course,father,1,1,0,no,no,no,no,yes,5,3,1,4,2,2,50,50,50,50
165,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,3,no,no,no,yes,no,5,3,1,5,5,0,25,40,35,33
166,M,16,U,GT3,T,3,2,services,services,course,mother,2,1,1,no,yes,no,yes,no,4,5,1,1,2,16,60,55,60,58
167,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,no,no,no,no,yes,4,3,2,4,4,4,50,50,50,50
168,F,16,U,GT3,T,4,2,health,services,home,father,1,2,0,no,no,yes,no,yes,4,2,1,1,3,0,70,75,80,75
169,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,5,1,1,1,4,0,30,35,0,22
170,F,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,0,no,yes,yes,no,yes,4,4,1,1,3,0,70,70,70,70
171,M,16,U,GT3,T,3,4,other,other,course,father,3,1,2,no,yes,no,yes,yes,3,4,2,4,2,0,30,25,0,18
172,M,16,U,GT3,T,1,0,other,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,4,3,1,1,3,2,65,75,80,73
173,M,17,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,4,4,1,3,5,0,65,55,50,57
174,F,16,U,GT3,T,1,3,at_home,services,home,mother,1,2,3,no,no,no,yes,yes,4,3,1,1,3,0,40,35,0,25
175,F,16,U,LE3,T,3,3,other,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,4,4,1,1,4,4,50,55,45,50
176,M,17,U,LE3,T,4,3,teacher,other,course,mother,2,2,0,no,no,yes,yes,yes,4,4,4,4,4,4,50,45,45,47
177,F,16,U,GT3,T,2,2,services,other,reputation,mother,2,2,0,no,no,yes,yes,yes,3,4,1,4,5,2,65,65,55,62
178,M,17,U,GT3,T,3,3,other,other,reputation,father,1,2,0,no,no,no,yes,yes,4,3,1,4,4,4,30,25,30,28
179,M,16,R,GT3,T,4,2,teacher,services,other,mother,1,1,0,no,yes,no,yes,yes,4,3,3,4,3,10,50,40,45,45
180,M,17,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes,no,yes,yes,5,2,1,1,2,4,50,50,55,52
181,M,16,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,3,4,2,3,3,10,45,40,40,42
182,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no,yes,yes,yes,4,2,1,2,3,2,60,65,60,62
183,F,17,U,GT3,T,2,4,services,services,reputation,father,1,2,0,no,yes,no,yes,no,5,4,2,3,5,0,80,85,85,83
184,F,17,U,LE3,T,3,3,other,other,reputation,mother,1,2,0,no,yes,no,yes,yes,5,3,2,3,1,56,45,45,40,43
185,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,no,yes,yes,no,yes,1,2,1,2,1,14,60,65,60,62
186,M,17,U,GT3,T,3,3,services,services,other,mother,1,2,0,no,yes,no,yes,yes,4,3,2,3,4,12,60,60,55,58
187,M,16,U,GT3,T,1,2,services,services,other,mother,1,1,0,no,yes,yes,yes,yes,3,3,1,2,3,2,55,60,55,57
188,M,16,U,LE3,T,2,1,other,other,course,mother,1,2,0,no,no,yes,yes,yes,4,2,1,2,5,0,75,75,75,75
189,F,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,no,yes,no,no,yes,3,3,1,3,3,6,40,35,45,40
190,M,17,R,GT3,T,1,2,at_home,other,home,mother,1,2,0,no,no,no,no,no,3,1,1,5,3,4,40,45,50,45
191,F,16,U,GT3,T,2,3,services,services,course,mother,1,2,0,no,no,no,no,yes,4,3,1,1,2,10,55,60,65,60
192,F,17,U,GT3,T,1,1,at_home,services,course,mother,1,2,0,no,no,no,yes,yes,5,3,1,1,3,0,40,40,45,42
193,M,17,U,GT3,T,1,2,at_home,services,other,other,2,2,0,no,no,yes,yes,yes,4,4,4,5,5,12,35,40,40,38
194,M,16,R,GT3,T,3,3,services,services,reputation,mother,1,1,0,no,yes,no,yes,yes,4,3,3,4,5,8,40,45,50,45
195,M,16,U,GT3,T,2,3,other,other,home,father,2,1,0,no,no,no,no,yes,5,3,1,1,3,0,65,70,70,68
196,F,17,U,LE3,T,2,4,services,services,course,father,1,2,0,no,no,no,yes,yes,4,3,1,1,5,0,70,75,75,73
