Student,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,internet,famrel,freetime,Dalc,Walc,health,absences,G1,G2,G3,Mean
197,M,17,U,GT3,T,4,4,services,teacher,home,mother,1,1,0,no,no,no,no,yes,5,2,1,2,5,4,85,75,80,80
198,M,16,R,LE3,T,3,3,teacher,other,home,father,3,1,0,no,yes,yes,yes,yes,3,3,3,5,3,8,45,45,50,47
199,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,no,yes,no,no,yes,4,2,2,3,2,24,90,90,90,90
200,F,16,U,LE3,T,4,4,teacher,teacher,reputation,mother,1,2,0,no,yes,yes,no,yes,4,5,1,2,3,0,45,45,50,47
201,F,16,U,GT3,T,4,3,health,other,home,mother,1,2,0,no,yes,no,yes,yes,4,3,1,5,2,2,80,80,80,80
202,F,16,U,GT3,T,2,3,other,other,reputation,mother,1,2,0,yes,yes,yes,yes,no,4,4,1,3,4,6,40,50,50,47
203,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,yes,yes,no,no,4,4,1,3,1,4,45,45,50,47
204,F,17,R,GT3,T,2,2,other,other,reputation,mother,1,1,0,no,yes,no,no,yes,5,3,1,2,3,18,35,30,30,32
205,F,16,R,GT3,T,2,2,services,services,reputation,mother,2,4,0,no,yes,yes,yes,yes,5,3,1,1,5,6,50,50,55,52
206,F,17,U,GT3,T,3,4,at_home,services,home,mother,1,3,1,no,yes,yes,no,yes,4,4,3,4,5,28,50,45,45,47
207,F,16,U,GT3,A,3,1,services,other,course,mother,1,2,3,no,yes,yes,no,yes,2,3,2,2,4,5,35,35,35,35
208,F,16,U,GT3,T,4,3,teacher,other,other,mother,1,2,0,no,no,yes,yes,yes,1,3,1,1,1,10,55,60,65,60
209,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,yes,yes,no,no,4,3,1,4,5,6,45,45,50,47
210,F,17,R,GT3,T,4,3,teacher,other,reputation,mother,2,3,0,no,yes,yes,yes,yes,4,4,1,1,4,6,35,35,35,35
211,F,19,U,GT3,T,3,3,other,other,reputation,other,1,4,0,no,yes,yes,yes,yes,4,3,1,2,3,10,40,40,40,40
212,M,17,U,LE3,T,4,4,services,other,home,mother,1,2,0,no,yes,yes,no,yes,5,3,4,5,3,13,60,60,65,62
213,F,16,U,GT3,A,2,2,other,other,reputation,mother,1,2,0,yes,yes,yes,no,yes,3,3,1,1,4,0,60,65,70,65
214,M,18,U,GT3,T,2,2,services,other,home,mother,1,2,1,no,yes,yes,yes,yes,4,4,2,4,5,15,30,35,40,35
215,F,17,R,LE3,T,4,4,services,other,other,mother,1,1,0,no,yes,yes,no,no,5,2,1,2,3,12,40,50,50,47
216,F,17,U,LE3,T,3,2,other,other,reputation,mother,2,2,0,no,no,yes,no,yes,4,4,1,3,1,2,70,75,75,73
217,F,17,U,GT3,T,4,3,other,other,reputation,mother,1,2,2,no,no,yes,no,yes,3,4,2,4,1,22,30,30,20,27
218,M,18,U,LE3,T,3,3,services,health,home,father,1,2,1,no,yes,yes,no,yes,3,2,2,4,4,13,30,30,40,33
219,F,17,U,GT3,T,2,3,at_home,other,home,father,2,1,0,no,yes,yes,no,no,3,3,1,4,3,3,35,35,40,37
220,F,17,U,GT3,T,2,2,at_home,at_home,course,mother,1,3,0,no,yes,yes,yes,yes,4,3,1,1,4,4,45,50,50,48
221,F,17,R,GT3,T,2,1,at_home,services,reputation,mother,2,2,0,no,yes,no,yes,yes,4,2,1,2,5,2,30,30,30,30
222,F,17,U,GT3,T,1,1,at_home,other,reputation,mother,1,3,1,no,yes,no,yes,no,4,3,1,1,5,0,30,25,0,18
223,F,16,U,GT3,T,2,3,services,teacher,other,mother,1,2,0,yes,no,no,no,yes,2,3,1,1,3,2,80,80,85,82
224,M,18,U,GT3,T,2,2,other,other,home,mother,2,2,0,no,yes,yes,no,yes,3,3,5,5,4,0,60,65,65,63
225,F,16,U,GT3,T,4,4,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,5,3,1,1,5,0,65,65,70,67
226,F,18,R,GT3,T,3,1,other,other,reputation,mother,1,2,1,no,no,no,yes,yes,5,3,1,1,4,16,45,40,35,40
227,F,17,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,no,no,yes,yes,5,3,1,3,3,10,80,75,75,77
228,M,17,U,LE3,T,2,3,services,services,reputation,father,1,2,0,no,yes,yes,no,yes,5,3,1,3,3,2,60,55,60,58
229,M,18,U,LE3,T,2,1,at_home,other,course,mother,4,2,0,yes,yes,yes,yes,yes,4,3,4,5,3,14,50,40,45,45
230,F,17,U,GT3,A,2,1,other,other,course,mother,2,3,0,no,no,no,yes,yes,3,2,1,2,3,10,60,50,60,57
231,F,17,U,LE3,T,4,3,health,other,reputation,father,1,2,0,no,no,no,yes,yes,3,2,1,2,3,14,65,65,70,67
232,M,17,R,GT3,T,2,2,other,other,course,father,2,2,0,no,yes,yes,yes,yes,4,5,1,1,1,4,55,55,55,55
233,M,17,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,2,0,yes,yes,no,yes,yes,4,5,1,3,2,14,55,45,45,48
234,M,16,U,GT3,T,4,4,health,other,reputation,father,1,2,0,no,yes,yes,yes,yes,4,2,2,4,1,2,70,65,65,67
235,M,16,U,LE3,T,1,1,other,other,home,mother,2,2,0,no,yes,yes,no,yes,3,4,1,1,5,18,45,35,30,37
236,M,16,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,0,no,no,no,yes,yes,5,3,1,3,2,10,55,45,50,50
237,M,17,U,LE3,T,2,2,other,other,home,father,1,2,0,no,no,yes,yes,yes,4,4,5,5,4,4,70,65,65,67
238,F,16,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,no,no,no,yes,4,5,1,1,5,20,65,60,60,62
239,F,17,R,GT3,T,2,1,at_home,services,course,mother,3,2,0,no,no,no,yes,no,2,1,1,1,3,2,65,55,55,58
240,M,18,U,GT3,T,2,2,other,services,reputation,father,1,2,1,no,no,no,no,yes,5,5,3,5,2,0,35,35,0,23
241,M,17,U,LE3,T,4,3,health,other,course,mother,2,2,0,no,no,no,yes,yes,2,5,1,4,5,14,60,60,60,60
242,M,17,R,LE3,A,4,4,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,3,3,2,3,4,2,50,55,60,55
243,M,16,U,LE3,T,4,3,teacher,other,course,mother,1,1,0,no,no,no,yes,yes,5,4,1,1,3,0,30,0,0,10
244,M,16,U,GT3,T,4,4,services,services,course,mother,1,1,0,no,no,no,yes,yes,5,3,1,2,5,0,65,60,60,62
245,F,18,U,GT3,T,2,1,other,other,course,other,2,3,0,no,yes,yes,no,yes,4,4,1,1,3,0,35,0,0,12
246,M,16,U,GT3,T,2,1,other,other,course,mother,3,1,0,no,no,no,no,yes,4,3,1,1,4,6,90,90,90,90
247,M,17,U,GT3,T,2,3,other,other,course,father,2,1,0,no,no,no,no,yes,5,2,1,1,2,4,60,60,65,62
248,M,22,U,GT3,T,3,1,services,services,other,mother,1,1,3,no,no,no,no,yes,5,4,5,5,1,16,30,40,40,37
249,M,18,R,LE3,T,3,3,other,services,course,mother,1,2,1,no,yes,no,no,yes,4,3,1,3,5,8,15,25,25,22
250,M,16,U,GT3,T,0,2,other,other,other,mother,1,1,0,no,no,yes,no,yes,4,3,2,4,5,0,65,75,75,72
251,M,18,U,GT3,T,3,2,services,other,course,mother,2,1,1,no,no,no,no,yes,4,4,2,4,5,0,30,40,40,37
252,M,16,U,GT3,T,3,3,at_home,other,reputation,other,3,2,0,yes,yes,no,no,yes,5,3,1,3,2,6,35,50,50,45
253,M,18,U,GT3,T,2,1,services,services,other,mother,1,1,1,no,no,no,no,yes,3,2,2,5,5,4,30,45,40,38
254,M,16,R,GT3,T,2,1,other,other,course,mother,2,1,0,no,no,no,yes,no,3,3,1,3,3,0,40,45,40,42
255,M,17,R,GT3,T,2,1,other,other,course,mother,1,1,0,no,no,no,no,yes,4,4,2,4,5,0,40,60,60,53
256,M,17,U,LE3,T,1,1,health,other,course,mother,2,1,1,no,yes,no,yes,yes,4,4,1,2,5,2,35,45,40,40
257,F,17,U,LE3,T,4,2,teacher,services,reputation,mother,1,4,0,no,yes,yes,yes,yes,4,2,1,1,4,6,70,60,65,65
258,M,19,U,LE3,A,4,3,services,at_home,reputation,mother,1,2,0,no,yes,no,no,yes,4,3,1,1,1,12,55,55,55,55
259,M,18,U,GT3,T,2,1,other,other,home,mother,1,2,0,no,no,no,yes,yes,5,2,1,2,4,8,75,70,70,72
260,F,17,U,LE3,T,2,2,services,services,course,father,1,4,0,no,no,yes,yes,yes,3,4,1,1,2,0,50,45,0,32
261,F,18,U,GT3,T,4,3,services,other,home,father,1,2,0,no,yes,yes,no,yes,3,1,1,3,2,21,85,90,90,88
262,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,2,0,no,yes,yes,no,yes,4,3,1,1,3,2,40,40,40,40
263,M,18,R,GT3,T,3,2,other,other,course,mother,1,3,0,no,no,no,yes,no,5,3,1,1,3,1,65,60,60,62
264,F,17,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,no,no,yes,no,3,2,1,1,4,4,50,45,45,47
265,F,18,U,GT3,T,2,2,at_home,services,home,mother,1,3,0,no,yes,yes,yes,yes,4,3,1,1,3,0,45,50,0,32
266,M,18,R,LE3,A,3,4,other,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,4,2,3,4,1,13,85,85,85,85
267,M,17,U,GT3,T,3,1,services,other,other,mother,1,2,0,no,no,yes,yes,yes,5,4,3,4,5,2,45,45,50,47
268,F,18,R,GT3,T,4,4,teacher,other,reputation,mother,2,2,0,no,no,yes,yes,yes,4,3,2,2,4,8,60,50,55,55
269,M,18,U,GT3,T,4,2,health,other,reputation,father,1,2,0,no,yes,yes,yes,yes,5,4,1,3,5,10,50,45,50,48
270,F,18,R,GT3,T,2,1,other,other,reputation,mother,2,2,0,no,yes,no,no,yes,4,3,1,2,3,0,30,0,0,10
271,F,19,U,GT3,T,3,3,other,services,home,other,1,2,2,no,yes,yes,yes,yes,4,3,3,3,5,15,45,45,45,45
272,F,18,U,GT3,T,2,3,other,services,reputation,father,1,4,0,no,yes,yes,yes,yes,4,5,1,3,2,4,75,70,70,72
273,F,18,U,LE3,T,1,1,other,other,home,mother,2,2,0,no,yes,yes,no,no,4,4,1,1,3,2,55,55,55,55
274,M,17,R,GT3,T,1,2,at_home,at_home,home,mother,1,2,0,no,yes,yes,yes,no,3,5,2,2,1,2,75,70,70,72
275,F,17,U,GT3,T,2,4,at_home,health,reputation,mother,2,2,0,no,yes,yes,no,yes,4,3,1,1,1,2,50,50,50,50
276,F,17,U,LE3,T,2,2,services,other,course,mother,2,2,0,yes,yes,yes,no,yes,4,4,2,3,5,6,60,60,60,60
277,F,18,R,GT3,A,3,2,other,services,home,mother,2,2,0,no,no,no,no,yes,4,1,1,1,5,75,50,45,45,47
278,M,18,U,GT3,T,4,4,teacher,services,home,mother,2,1,0,no,no,yes,yes,yes,3,2,1,4,3,22,45,45,45,45
279,F,18,U,GT3,T,4,4,health,health,reputation,father,1,2,1,yes,yes,no,yes,yes,2,4,1,1,4,15,45,40,40,42
280,M,18,U,LE3,T,4,3,teacher,services,course,mother,2,1,0,no,no,yes,yes,yes,4,2,1,2,1,8,50,55,50,52
281,M,17,U,LE3,A,4,1,services,other,home,mother,2,1,0,no,no,yes,yes,yes,4,5,2,4,5,30,40,40,40,40
282,M,17,U,LE3,A,3,2,teacher,services,home,mother,1,1,1,no,no,no,no,yes,4,4,3,4,3,19,55,45,50,50
283,F,18,R,LE3,T,1,1,at_home,other,reputation,mother,2,4,0,no,yes,yes,yes,no,5,2,1,1,3,1,60,60,60,60
284,F,18,U,GT3,T,1,1,other,other,home,mother,2,2,0,yes,no,no,yes,yes,5,4,1,1,4,4,40,45,50,45
285,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,5,4,1,2,5,4,50,45,55,50
286,M,17,U,GT3,T,1,1,other,other,reputation,father,1,2,0,no,no,yes,no,yes,4,3,1,2,4,2,60,50,55,55
287,F,18,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,0,no,yes,yes,no,yes,4,3,1,2,2,5,90,90,95,92
288,F,17,U,GT3,T,1,1,services,teacher,reputation,mother,1,3,0,no,yes,yes,no,yes,4,3,1,1,3,6,65,60,60,62
289,M,18,U,GT3,T,2,1,services,services,reputation,mother,1,3,0,no,no,yes,yes,yes,4,2,1,3,2,6,75,70,70,72
290,M,18,U,LE3,A,4,4,teacher,teacher,reputation,mother,1,2,0,no,yes,yes,yes,yes,5,4,1,1,2,9,75,65,75,72
291,M,18,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,4,3,1,4,5,11,60,55,55,57
292,F,17,U,GT3,T,4,3,health,services,reputation,mother,1,3,0,no,yes,yes,no,yes,4,2,1,2,3,0,75,75,75,75
293,F,18,U,LE3,T,2,1,services,at_home,reputation,mother,1,2,1,no,no,no,no,yes,5,4,1,1,5,12,60,60,65,62
294,F,17,R,LE3,T,3,1,services,other,reputation,mother,2,4,0,no,yes,yes,no,no,3,1,1,1,3,6,90,90,90,90
295,M,18,R,LE3,T,3,2,services,other,reputation,mother,2,3,0,no,yes,yes,yes,yes,5,4,1,1,4,8,70,65,70,68
296,M,17,U,GT3,T,3,3,health,other,home,mother,1,1,0,no,yes,yes,no,yes,4,4,1,3,5,4,70,60,55,62
297,F,19,U,GT3,T,4,4,health,other,reputation,other,2,2,0,no,yes,yes,yes,yes,2,3,2,3,2,0,50,45,0,32
298,F,18,U,LE3,T,4,3,other,other,home,other,2,2,0,no,yes,yes,no,yes,4,4,1,2,2,10,50,40,40,43
299,F,18,U,GT3,T,4,3,other,other,reputation,father,1,4,0,no,yes,yes,no,yes,4,3,1,1,3,0,70,65,70,68
300,M,18,U,LE3,T,4,4,teacher,teacher,home,mother,1,1,0,no,yes,yes,no,yes,1,4,2,2,1,5,80,75,80,78
301,F,18,U,LE3,A,4,4,health,other,home,mother,1,2,0,no,yes,no,no,yes,4,2,1,1,4,14,60,50,55,55
302,M,17,U,LE3,T,4,4,other,teacher,home,father,2,1,0,no,no,yes,no,yes,4,1,2,2,5,0,55,55,50,53
303,F,17,U,GT3,T,4,2,other,other,reputation,mother,2,3,0,no,yes,yes,no,yes,4,3,1,1,3,0,75,60,70,68
304,F,17,U,GT3,T,3,2,health,health,reputation,father,1,4,0,no,yes,yes,yes,yes,5,2,1,2,5,0,85,85,90,87
305,M,19,U,GT3,T,3,3,other,other,home,other,1,2,1,no,yes,no,yes,yes,4,4,1,1,3,20,75,70,65,70
306,F,18,U,GT3,T,2,4,services,at_home,reputation,other,1,2,1,no,yes,yes,yes,yes,4,4,1,1,3,8,70,60,60,63
307,M,20,U,GT3,A,3,2,services,other,course,other,1,1,0,no,no,no,yes,no,5,5,1,1,5,0,85,90,90,88
308,M,19,U,GT3,T,4,4,teacher,services,reputation,other,2,1,1,no,yes,yes,no,yes,4,3,1,1,4,38,40,45,40,42
309,M,19,R,GT3,T,3,3,other,services,reputation,father,1,2,1,no,no,no,yes,no,4,5,1,2,5,0,75,60,60,65
310,F,19,U,LE3,T,1,1,at_home,other,reputation,other,1,2,1,yes,yes,no,yes,yes,4,4,1,3,3,18,60,50,50,53
311,F,19,U,LE3,T,1,2,services,services,home,other,1,2,1,no,no,no,yes,no,4,2,2,2,3,0,45,45,0,30
312,F,19,U,GT3,T,2,1,at_home,other,other,other,3,2,0,no,yes,no,no,yes,3,4,1,1,2,20,70,60,65,65
313,M,19,U,GT3,T,1,2,other,services,course,other,1,2,1,no,no,no,no,yes,4,5,2,2,4,3,65,55,55,58
314,F,19,U,LE3,T,3,2,services,other,reputation,other,2,2,1,no,yes,yes,no,yes,4,2,1,2,1,22,65,50,55,57
315,F,19,U,GT3,T,1,1,at_home,health,home,other,1,3,2,no,no,no,no,yes,4,1,1,1,3,14,75,65,65,68
316,F,19,R,GT3,T,2,3,other,other,reputation,other,1,3,1,no,no,no,no,yes,4,1,1,1,3,40,65,55,55,58
317,F,18,U,GT3,T,2,1,services,other,course,mother,2,2,0,no,yes,yes,yes,yes,5,3,1,2,1,0,40,40,0,27
318,F,18,U,GT3,T,4,3,other,other,course,mother,1,3,0,no,yes,yes,yes,yes,4,3,1,1,5,9,45,50,45,47
319,F,17,R,GT3,T,3,4,at_home,services,course,father,1,3,0,no,yes,yes,yes,yes,4,3,2,5,5,0,55,55,50,53
320,F,18,U,GT3,T,4,4,teacher,other,course,mother,1,2,0,no,yes,yes,no,yes,4,4,3,3,5,2,55,55,55,55
321,F,17,U,GT3,A,4,3,services,services,course,mother,1,2,0,no,yes,yes,no,yes,5,2,1,2,5,23,65,65,65,65
322,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,no,4,2,1,1,3,12,55,45,45,48
323,F,17,R,LE3,T,2,2,services,services,course,mother,1,3,0,no,yes,yes,yes,yes,3,3,2,2,3,3,55,55,55,55
324,F,17,U,GT3,T,3,1,services,services,course,father,1,3,0,no,yes,no,no,yes,3,4,2,3,5,1,60,70,75,68
325,F,17,U,LE3,T,0,2,at_home,at_home,home,father,2,3,0,no,no,no,no,yes,3,3,2,3,2,0,80,75,75,77
326,M,18,U,GT3,T,4,4,other,other,course,mother,1,3,0,no,no,no,yes,yes,4,3,2,2,3,3,45,60,55,53
327,M,17,U,GT3,T,3,3,other,services,reputation,mother,1,1,0,no,no,no,yes,yes,4,3,3,5,5,3,70,75,80,75
328,M,17,R,GT3,T,2,2,services,other,course,mother,4,1,0,no,yes,no,no,yes,4,4,5,5,4,8,55,50,50,52
329,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,5,4,1,3,4,7,50,45,45,47
330,F,17,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,no,yes,yes,no,yes,4,3,1,2,4,4,70,70,70,70
331,M,18,U,LE3,T,2,2,other,other,course,mother,1,4,0,no,yes,no,yes,yes,4,5,2,4,5,2,45,40,40,42
332,F,17,R,GT3,T,2,4,at_home,other,course,father,1,3,0,no,yes,no,no,yes,4,4,1,1,5,7,60,70,70,67
333,F,18,U,GT3,T,3,3,services,services,home,mother,1,2,0,no,no,no,yes,yes,5,3,1,1,4,0,35,0,0,12
334,F,18,U,LE3,T,2,2,other,other,home,other,1,2,0,no,no,no,yes,yes,4,3,1,1,2,0,40,40,0,27
335,F,18,R,GT3,T,2,2,at_home,other,course,mother,2,4,0,no,no,no,yes,no,4,4,1,1,4,0,50,45,0,32
336,F,17,U,GT3,T,3,4,services,other,course,mother,1,3,0,no,no,no,no,yes,4,4,1,3,5,16,80,75,75,77
337,F,19,R,GT3,A,3,1,services,at_home,home,other,1,3,1,no,no,yes,no,no,5,4,1,2,5,12,70,65,65,67
338,F,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,4,3,2,3,2,0,35,40,0,25
339,F,18,U,LE3,T,3,3,services,services,home,mother,1,4,0,no,yes,no,no,yes,5,3,1,1,1,7,80,75,85,80
340,F,17,R,GT3,A,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,4,3,2,3,2,4,45,50,50,48
341,F,19,U,GT3,T,2,1,services,services,home,other,1,3,1,no,no,yes,yes,yes,4,3,1,3,3,4,55,60,55,57
342,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,no,yes,no,yes,yes,4,3,2,2,2,0,50,50,0,33
343,M,18,U,LE3,T,3,4,services,other,home,mother,1,2,0,no,no,no,yes,yes,4,3,1,3,5,11,80,75,75,77
344,F,17,U,GT3,A,2,2,at_home,at_home,home,father,1,2,1,no,yes,no,no,yes,3,3,1,2,4,0,45,40,0,28
345,F,18,U,GT3,T,2,3,at_home,other,course,mother,1,3,0,no,yes,no,no,yes,4,3,1,2,3,4,55,50,50,52
346,F,18,U,GT3,T,3,2,other,services,other,mother,1,3,0,no,no,no,no,yes,5,4,2,3,1,7,65,65,70,67
347,M,18,R,GT3,T,4,3,teacher,services,course,mother,1,3,0,no,no,no,no,yes,5,3,1,2,4,9,80,75,80,78
348,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes,yes,no,yes,5,4,2,3,5,0,50,50,45,48
349,F,17,U,GT3,T,4,3,health,other,reputation,mother,1,3,0,no,yes,yes,yes,yes,4,4,1,3,4,0,65,75,75,72
350,M,18,R,GT3,T,3,2,other,other,course,mother,2,1,1,no,yes,no,no,yes,2,5,5,5,5,10,55,65,65,62
351,M,19,R,GT3,T,1,1,other,services,home,other,3,2,3,no,no,no,no,yes,5,4,3,3,2,8,40,35,40,38
352,M,17,U,GT3,T,3,3,health,other,course,mother,2,2,0,no,yes,yes,no,yes,4,5,2,3,3,2,65,65,65,65
353,M,18,U,LE3,T,1,3,at_home,services,course,mother,1,1,1,no,no,no,no,yes,4,3,2,3,3,7,40,35,40,38
354,M,19,R,GT3,T,1,1,other,other,home,other,3,1,1,no,yes,no,no,yes,4,4,3,3,5,4,40,40,40,40
355,M,17,R,GT3,T,4,3,services,other,home,mother,2,2,0,no,yes,yes,yes,yes,4,5,1,3,2,4,65,55,55,58
356,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes,no,no,no,5,3,1,1,5,0,50,45,45,47
357,F,17,R,GT3,T,4,4,teacher,services,other,father,2,2,0,no,yes,yes,yes,yes,4,3,1,2,5,4,60,65,65,63
358,F,17,U,LE3,A,3,2,services,other,reputation,mother,2,2,0,no,no,no,no,no,1,2,1,2,5,2,60,60,55,58
359,M,18,U,LE3,T,1,1,other,services,home,father,2,1,0,no,no,no,no,yes,3,3,1,2,3,4,50,50,50,50
360,F,18,U,LE3,T,1,1,at_home,services,course,father,2,3,0,no,no,no,no,yes,5,3,1,1,4,0,90,80,80,83
361,F,18,R,LE3,A,1,4,at_home,other,course,mother,3,2,0,no,no,no,no,no,4,3,1,4,5,0,65,65,65,65
362,M,18,R,LE3,T,1,1,at_home,other,other,mother,2,2,1,no,no,no,yes,no,4,4,2,3,5,2,65,60,60,62
363,F,18,U,GT3,T,3,3,services,services,other,mother,2,2,0,no,yes,no,no,yes,4,3,1,3,3,0,55,55,50,53
364,F,17,U,LE3,T,4,4,at_home,at_home,course,mother,1,2,0,no,yes,yes,yes,yes,2,3,1,1,1,0,80,75,75,77
365,F,17,R,GT3,T,1,2,other,services,course,father,2,2,0,no,no,no,no,no,3,2,1,2,3,0,60,55,60,58
366,M,18,R,GT3,T,1,3,at_home,other,course,mother,2,2,0,no,yes,yes,no,no,3,3,2,4,3,4,50,50,50,50
367,M,18,U,LE3,T,4,4,teacher,services,other,mother,2,3,0,no,no,yes,no,yes,4,2,2,2,5,0,65,65,65,65
368,F,17,R,GT3,T,1,1,other,services,reputation,mother,3,1,1,no,yes,yes,no,yes,5,2,1,2,1,0,35,30,0,22
369,F,18,U,GT3,T,2,3,at_home,services,course,father,2,1,0,no,yes,yes,no,yes,5,2,1,2,4,0,55,50,50,52
370,F,18,R,GT3,T,4,4,other,teacher,other,father,3,2,0,no,yes,yes,no,yes,3,2,4,2,5,10,70,60,55,62
371,F,19,U,LE3,T,3,2,services,services,home,other,2,2,2,no,no,no,yes,no,3,2,1,1,3,4,35,35,45,38
372,M,18,R,LE3,T,1,2,at_home,services,other,father,3,1,0,no,yes,yes,yes,yes,4,3,2,3,3,3,70,60,60,63
373,F,17,U,GT3,T,2,2,other,at_home,home,mother,1,3,0,no,no,no,yes,no,3,4,1,1,3,8,65,55,55,58
374,F,17,R,GT3,T,1,2,other,other,course,mother,1,1,0,no,no,no,yes,yes,3,5,1,3,1,14,30,25,25,27
375,F,18,R,LE3,T,4,4,other,other,reputation,mother,2,3,0,no,no,no,no,yes,5,4,1,1,1,0,95,90,95,93
376,F,18,R,GT3,T,1,1,other,other,home,mother,4,3,0,no,no,no,no,yes,4,3,1,2,4,2,40,40,50,43
377,F,20,U,GT3,T,4,2,health,other,course,other,2,3,2,no,yes,yes,no,yes,5,4,1,1,3,4,75,70,75,73
378,F,18,R,LE3,T,4,4,teacher,services,course,mother,1,2,0,no,no,yes,yes,yes,5,4,3,4,2,4,40,45,50,45
379,F,18,U,GT3,T,3,3,other,other,home,mother,1,2,0,no,no,yes,no,yes,4,1,1,2,1,0,75,75,75,75
380,F,17,R,GT3,T,3,1,at_home,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,4,5,2,3,1,17,50,50,50,50
381,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no,no,yes,yes,yes,3,2,1,4,2,4,75,70,70,72
382,M,18,R,GT3,T,2,1,other,other,other,mother,2,1,0,no,no,no,yes,yes,4,4,1,3,5,5,35,30,35,33
383,M,17,U,GT3,T,2,3,other,services,home,father,2,2,0,no,no,no,yes,yes,4,4,1,1,3,2,55,55,50,53
384,M,19,R,GT3,T,1,1,other,services,other,mother,2,1,1,no,no,no,no,no,4,3,1,3,5,0,30,25,0,18
385,M,18,R,GT3,T,4,2,other,other,home,father,2,1,1,no,no,yes,no,no,5,4,4,3,3,14,30,25,25,27
386,F,18,R,GT3,T,2,2,at_home,other,other,mother,2,3,0,no,no,yes,no,no,5,3,1,3,4,2,50,45,50,48
387,F,18,R,GT3,T,4,4,teacher,at_home,reputation,mother,3,1,0,no,yes,yes,yes,yes,4,4,2,2,5,7,30,25,30,28
388,F,19,R,GT3,T,2,3,services,other,course,mother,1,3,1,no,no,no,yes,yes,5,4,1,2,5,0,35,25,0,20
389,F,18,U,LE3,T,3,1,teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,4,3,1,1,1,0,35,45,40,40
390,F,18,U,GT3,T,1,1,other,other,course,mother,2,2,1,no,no,no,yes,no,1,1,1,1,5,0,30,25,0,18
391,M,20,U,LE3,A,2,2,services,services,course,other,1,2,2,no,yes,yes,no,no,5,5,4,5,4,11,45,45,45,45
392,M,17,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,no,yes,2,4,3,4,2,3,70,80,80,77
393,M,21,R,GT3,T,1,1,other,other,course,other,1,1,3,no,no,no,no,no,5,5,3,3,3,3,50,40,35,42
394,M,18,R,LE3,T,3,2,services,other,course,mother,3,1,0,no,no,no,no,yes,4,4,3,4,5,0,55,60,50,55
395,M,19,U,LE3,T,1,1,other,at_home,course,father,1,1,0,no,no,no,no,yes,3,2,3,3,5,5,40,45,45,43
